[***********, 2021/7/30 at 13:58] ,************
Axis1, , Axis3
0.000000000000, 0x0, 9.999925362074, 0x1edaf23e 
0.000000000000, 0x0, 9.999925381392, 0x1edaf23f 
0.000000000000, 0x0, 9.999925342757, 0x1edaf23d 
0.000000000000, 0x0, 9.999925323440, 0x1edaf23c 
0.000000000000, 0x0, 9.999925342757, 0x1edaf23d 
0.000000000000, 0x0, 9.999925439344, 0x1edaf242 
0.000000000000, 0x0, 9.999925400709, 0x1edaf240 
0.000000000000, 0x0, 9.999925342757, 0x1edaf23d 
0.000000000000, 0x0, 9.999925323440, 0x1edaf23c 
0.000000000000, 0x0, 9.999925342757, 0x1edaf23d 
0.000000000000, 0x0, 9.999925304122, 0x1edaf23b 
0.000000000000, 0x0, 9.999925342757, 0x1edaf23d 
0.000000000000, 0x0, 9.999925284805, 0x1edaf23a 
0.000000000000, 0x0, 9.999925265488, 0x1edaf239 
0.000000000000, 0x0, 9.999925265488, 0x1edaf239 
0.000000000000, 0x0, 9.999925226853, 0x1edaf237 
0.000000000000, 0x0, 9.999925207536, 0x1edaf236 
0.000000000000, 0x0, 9.999925284805, 0x1edaf23a 
0.000000000000, 0x0, 9.999925284805, 0x1edaf23a 
0.000000000000, 0x0, 9.999925246170, 0x1edaf238 
0.000000000000, 0x0, 9.999925284805, 0x1edaf23a 
0.000000000000, 0x0, 9.999925323440, 0x1edaf23c 
0.000000000000, 0x0, 9.999925323440, 0x1edaf23c 
0.000000000000, 0x0, 9.999925304122, 0x1edaf23b 
0.000000000000, 0x0, 9.999925304122, 0x1edaf23b 
0.000000000000, 0x0, 9.999925381392, 0x1edaf23f 
0.000000000000, 0x0, 9.999925362074, 0x1edaf23e 
0.000000000000, 0x0, 9.999925381392, 0x1edaf23f 
0.000000000000, 0x0, 9.999925400709, 0x1edaf240 
0.000000000000, 0x0, 9.999925400709, 0x1edaf240 
0.000000000000, 0x0, 9.999925362074, 0x1edaf23e 
0.000000000000, 0x0, 9.999925381392, 0x1edaf23f 
0.000000000000, 0x0, 9.999925420027, 0x1edaf241 
0.000000000000, 0x0, 9.999925477979, 0x1edaf244 
0.000000000000, 0x0, 9.999925516613, 0x1edaf246 
0.000000000000, 0x0, 9.999925535931, 0x1edaf247 
0.000000000000, 0x0, 9.999925516613, 0x1edaf246 
0.000000000000, 0x0, 9.999925555248, 0x1edaf248 
0.000000000000, 0x0, 9.999925651835, 0x1edaf24d 
0.000000000000, 0x0, 9.999925555248, 0x1edaf248 
0.000000000000, 0x0, 9.999925593883, 0x1edaf24a 
0.000000000000, 0x0, 9.999925593883, 0x1edaf24a 
