[***********, 2022/2/22 at 10:10] ,************
Axis1, , Axis2, , Axis3, , Axis4
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
0.000000, 0x0, -0.000155, 0xffffe0c0, -0.000034, 0xfffff919, 0.000000, 0x0 
